"externalId","stationId","legacyId","station_type","eightd_station_services","has_kiosk","lat","name","capacity","lon","electric_bike_surcharge_waiver","short_name","eightd_has_key_dispenser","address"
"1683527972235589666","1683527972235589666",,"lightweight","[]",false,41.780621,"Public Rack - Woodlawn Ave & 63rd St N",1,-87.596033,false,,false,"1200, East 63rd Street, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States"
"1806749744377709060","1806749744377709060",,"lightweight","[]",false,41.9685781,"Public Rack - 4810 Keeler Ave",2,-87.7330358,false,,false,"4806 N Keeler Ave, Chicago, IL 60630, United States"
"1674190557374589902","1674190557374589902",,"lightweight","[]",false,41.8586742,"Public Rack - Penn Elementary School / KIPP Ascend Middle School",4,-87.7223835,false,,false,"1616, South Avers Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States"
"1674190544489687992","1674190544489687992",,"lightweight","[]",false,41.700168,"Public Rack - Orville T Bright School",2,-87.562148,false,,false,"Orville Bright Elementary School, 10740, South Calhoun Avenue, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States"
"1674190355511126652","1674190355511126652",,"lightweight","[]",false,41.759876,"Public Rack - James Madison School",2,-87.590638,false,,false,"James Madison Elementary School, East 74th Street, Essex, South Shore, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States"
"1715846704448749936","1715846704448749936",,"lightweight","[]",false,41.885891,"Public Rack - Kedzie Ave & Walnut St",1,-87.706425,false,,false,"252-266, North Kedzie Avenue, East Garfield Park, Chicago, Cook County, Illinois, 60647, United States"
"1674190454295374622","1674190454295374622",,"lightweight","[]",false,41.743271,"Public Rack - Loomis Blvd & 83rd St",1,-87.658769,false,,false,"8256-8258, South Loomis Boulevard, South Englewood, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States"
"1674190334036290136","1674190334036290136",,"lightweight","[]",false,41.780728,"Public Rack - Harper Ave & 63rd St",6,-87.587566,false,,false,"Hyde Park Academy High School, South Park Shore East Court, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States"
"1806749757262611032","1806749757262611032",,"lightweight","[]",false,42.0114922,"Public Rack - Ottowa Ave & Touhy Ave",2,-87.8182017,false,,false,"7648 W Touhy Ave, Chicago, IL 60631, United States"
"1674190578849426420","1674190578849426420",,"lightweight","[]",false,41.81791,"Public Rack - Pulaski Rd & 41st",2,-87.72413,false,,false,"Wendy's, 4100, South Pulaski Road, Archer Heights, Chicago, Lake Township, Cook County, Illinois, 60632, United States"
"1674190213777205626","1674190213777205626",,"lightweight","[]",false,41.822632,"Public Rack - California Ave & Pershing Rd",10,-87.695024,false,,false,"Former CPD Station, 3900, South California Avenue, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States"
"1674190381280930480","1674190381280930480",,"lightweight","[]",false,41.972097,"Public Rack - Kedzie Ave & Argyle St",2,-87.708572,false,,false,"3199, West Argyle Street, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States"
"1594046400988140226","1594046400988140226",,"lightweight","[]",false,41.846506,"Sacramento Ave & 25th St",9,-87.700139,false,,false,"2458, South Sacramento Avenue, South Lawndale, Chicago, Cook County, Illinois, 60623, United States"
"1594046443937813244","1594046443937813244",,"lightweight","[]",false,41.969659,"Western Ave & Gunnison St",9,-87.68955,false,,false,"West Gunnison Street, Bowmanville, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States"
"1674190243841976756","1674190243841976756",,"lightweight","[]",false,41.925734,"Public Rack - Cicero Ave & Altgeld St",2,-87.746414,false,,false,"2447-2453, North Cicero Avenue, Beat 2521, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States"
"1806753629998213750","1806753629998213750",,"lightweight","[]",false,41.764618,"Public Rack - California & 71st",4,-87.693452,false,,false,"2815 W 71st St, Chicago, IL 60629, United States"
"1695776956346497674","1695776956346497674",,"lightweight","[]",false,41.692303,"Public Rack - Normal Ave & 111th St",1,-87.635478,false,,false,"507, West 111th Street, Roseland, Chicago, Lake Township, Cook County, Illinois, 60643, United States"
"1827484051430132402","1827484051430132402",,"lightweight","[]",false,41.97871,"Public Rack - Forest Glen Station ",4,-87.75552,false,,false,"5310 N Forest Glen Ave, Chicago, IL 60630, United States"
"1806749748672676384","1806749748672676384",,"lightweight","[]",false,41.992273,"Public Rack - Holbrook St & Milwaukee Ave",4,-87.783303,false,,false,"6100 N Milwaukee Ave, Chicago, IL 60646, United States"
"1806749752967643712","1806749752967643712",,"lightweight","[]",false,41.995867,"Public Rack - Northwest Hwy & Highland Ave",2,-87.805223,false,,false,"6300 N Northwest Hwy, Chicago, IL 60631, United States"
"1674190557374589898","1674190557374589898",,"lightweight","[]",false,41.764225,"Public Rack - Paul Revere Elementary School",3,-87.600166,false,,false,"Revere Elementary School/Gary Comer College Prep Middle School, East 72nd Street, Brookline, Greater Grand Crossing, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States"
"1806753669977818020","1806753669977818020",,"lightweight","[]",false,41.759297,"Public Rack - Western & 74th",2,-87.683342,false,,false,"7340 S Western Ave Chicago, IL 60636"
"1674190570259491812","1674190570259491812",,"lightweight","[]",false,41.739986,"Public Rack - Prairie Ave & 85th St",2,-87.617645,false,,false,"8501, South Prairie Avenue, Garden Homes, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States"
"1677249871073777806","1677249871073777806",,"lightweight","[]",false,41.801354,"Public Rack - Laflin St & 51st St",2,-87.662076,false,,false,"51st Street & Laflin, West 51st Street, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States"
"1674190437115505412","1674190437115505412",,"lightweight","[]",false,41.9240754,"Public Rack - Laramie Ave & Fullerton Ave",2,-87.7568589,false,,false,"5222, West Fullerton Avenue, Beat 2515, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 690639, United States"
"1674190411345701582","1674190411345701582",,"lightweight","[]",false,41.881838,"Public Rack - Kildare Ave & Washignton Blvd",1,-87.733661,false,,false,"4313-4319, West Washington Boulevard, Central Park, West Garfield Park, Chicago, Cook County, Illinois, 60644, United States"
"1674190351216159354","1674190351216159354",,"lightweight","[]",false,41.692535,"Public Rack - Indiana Ave & 111th St",9,-87.617711,false,,false,"111th Street & Indiana WB, East 111th Street, Roseland, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States"
"1674190321151388220","1674190321151388220",,"lightweight","[]",false,41.721004,"Public Rack - Halsted St & 95th St - SE",3,-87.643031,false,,false,"Carter G. Woodson Regional Library, 9525, South Halsted Street, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60628, United States"
"1674190213777205624","1674190213777205624",,"lightweight","[]",false,41.8608706,"Public Rack - California Ave & Ogden Ave",1,-87.695681,false,,false,"Mount Sinai Hospital, 1500, South Fairfield Avenue, North Lawndale, Chicago, Cook County, Illinois, 60608, United States"
"1695776956940644828","1695776956940644828",,"lightweight","[]",false,41.68851,"Public Rack - Halsted St & 113th St",1,-87.642512,false,,false,"11300-11306, South Halsted Street, Morgan Park, West Pullman, Chicago, Lake Township, Cook County, Illinois, 60628, United States"
"1695776985249749776","1695776985249749776",,"lightweight","[]",false,41.728271,"Public Rack - Ashland Ave & 91st St",1,-87.662673,false,,false,"9101-9109, South Ashland Avenue, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60620, United States"
"1674190338331257438","1674190338331257438",,"lightweight","[]",false,41.909264,"Public Rack - Harvey Ave & North Ave",3,-87.782265,false,,false,"6248-6252, West North Avenue, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States"
"1695776991300383220","1695776991300383220",,"lightweight","[]",false,41.698728,"Public Rack - Western Ave & 107th St",1,-87.681558,false,,false,"10702-10708, South Western Avenue, Morgan Park, Chicago, Lake Township, Cook County, Illinois, 60643, United States"
"1695776969825546724","1695776969825546724",,"lightweight","[]",false,41.695655,"Public Rack - Halsted St & 109th St",1,-87.642804,false,,false,"10900-10910, South Halsted Street, Morgan Park, Chicago, Lake Township, Cook County, Illinois, 60628, United States"
"1806749757262611020","1806749757262611020",,"lightweight","[]",false,41.997463,"Public Rack - Devon Ave & Central Ave",2,-87.764063,false,,false,"6408 N Central Ave, Chicago, IL 60646, United States"
